record_id,source_id,source_title,record_name,normalized_name,text_exists,text_characters,image_count,dimension_signature,entity_attribute_count,asset_status,text_path,image_directory
Gq00014,Gq,古琴,襄,襄,True,502,9,L=124cm; W=20.4cm; T=5.4cm,10,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00014.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00014
Gq00016,Gq,古琴,无名琴 · Gq00016,无名琴,True,345,5,L=121cm; W=19.4cm; T=5cm,10,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00016.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00016
Gq00017,Gq,古琴,凤鸣,凤鸣,True,373,8,L=127.7cm; W=22.3cm; T=5.3cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00017.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00017
Gq00019,Gq,古琴,无名琴 · Gq00019,无名琴,True,376,3,L=117.4cm; E=109.7cm; W=18.5cm; T=5.4cm; TW=13cm; TT=5cm,18,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00019.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00019
Gq00020,Gq,古琴,松石间意,松石间意,True,506,14,L=122.5cm; W=19.2cm; T=5.3cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00020.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00020
Gq00023,Gq,古琴,无名琴 · Gq00023,无名琴,True,266,3,L=119.8cm; W=20.4cm; T=5.6cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00023.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00023
Gq00024,Gq,古琴,无名琴 · Gq00024,无名琴,True,349,10,L=119.2cm; W=19.9cm; T=5cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00024.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00024
Gq00026,Gq,古琴,霜天月,霜天月,True,403,12,L=124.1cm; W=21cm; T=5.5cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00026.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00026
Gq00028,Gq,古琴,无名琴 · Gq00028,无名琴,True,266,3,L=121.8cm; E=113.3cm; W=19.1cm; T=5.1cm; TW=13.7cm; TT=4.3cm,11,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00028.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00028
Gq00029,Gq,古琴,霜钟,霜钟,True,397,10,L=119.5cm; W=18.8cm; T=5.3cm,14,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00029.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00029
Gq00031,Gq,古琴,中和,中和,True,399,12,L=120.8cm; W=18.6cm; T=5.8cm; TW=14.2cm; TT=4.8cm,13,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00031.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00031
Gq00034,Gq,古琴,韵磬,韵磬,True,392,13,L=124.5cm; W=19.1cm; T=5.1cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00034.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00034
Gq00036,Gq,古琴,一天秋,一天秋,True,327,15,L=121cm; W=18.2cm; T=5.5cm,10,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00036.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00036
Gq00040,Gq,古琴,无名琴 · Gq00040,无名琴,True,304,6,L=122cm; W=18.8cm; T=5.3cm,10,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00040.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00040
Gq00041,Gq,古琴,无名琴 · Gq00041,无名琴,True,437,10,L=122.3cm; W=19.8cm; T=5.8cm,12,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00041.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00041
Gq00043,Gq,古琴,无名琴 · Gq00043,无名琴,True,366,4,L=125.3cm; W=20.4cm; T=5.5cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00043.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00043
Gq00044,Gq,古琴,雪声,雪声,True,637,10,L=118.7cm; W=18.3cm; T=4.7cm,15,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00044.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00044
Gq00046,Gq,古琴,无名琴 · Gq00046,无名琴,True,257,11,L=123.8cm; W=21.8cm; T=5.7cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00046.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00046
Gq00048,Gq,古琴,靡雷,靡雷,True,387,7,L=126.1cm; W=20.3cm; T=5.2cm,13,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00048.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00048
Gq00052,Gq,古琴,无名琴 · Gq00052,无名琴,True,247,4,L=124cm; W=19.2cm; T=5.1cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00052.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00052
Gq00053,Gq,古琴,无名琴 · Gq00053,无名琴,True,411,6,L=125cm; E=112.7cm; W=18cm; T=3.8cm; TW=12.1cm; TT=4.1cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00053.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00053
Gq00054,Gq,古琴,金声玉振,金声玉振,True,371,17,L=107.3cm; W=17.6cm; T=4.8cm; TW=12.2cm; TT=4.4cm,19,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00054.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00054
Gq00056,Gq,古琴,瀑飞,瀑飞,True,346,6,L=121.2cm; W=18.7cm; T=4.8cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00056.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00056
Gq00057,Gq,古琴,无名琴 · Gq00057,无名琴,True,210,9,L=123.9cm; W=20.1cm; T=6.3cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00057.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00057
